fold,auc,accuracy,precision,recall,f1,kappa,rmse
1,0.9688830658368818,0.9385964912280702,0.9210526315789473,0.9859154929577465,0.9523809523809523,0.8662420382165605,0.22719026608468856
2,0.9846053062561415,0.9385964912280702,0.9705882352941176,0.9295774647887324,0.9496402877697842,0.8710823909531502,0.21912782261081018
3,0.9758597883597884,0.9035087719298246,0.9552238805970149,0.8888888888888888,0.920863309352518,0.797676669893514,0.26821127001614636
4,0.9824735449735449,0.9385964912280702,0.922077922077922,0.9861111111111112,0.9530201342281879,0.8646998982706002,0.2209702453465577
5,0.9959758551307848,0.9557522123893806,0.9714285714285714,0.9577464788732394,0.9645390070921985,0.9057233439012181,0.16508976309932089
